2018-04-14 10:20:55:249 [main] INFO   com.xmh.sell.SellApplication - Starting SellApplication on xieminghuideMBP.lan with PID 5501 (/Users/xieminghui/Downloads/sell/target/classes started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 10:20:55:269 [main] INFO   com.xmh.sell.SellApplication - No active profile set, falling back to default profiles: default
2018-04-14 10:21:00:990 [main] INFO   com.xmh.sell.SellApplication - Started SellApplication in 6.779 seconds (JVM running for 7.649)
2018-04-14 10:26:16:952 [main] INFO   com.xmh.sell.SellApplication - Starting SellApplication on xieminghuideMBP.lan with PID 5516 (/Users/xieminghui/Downloads/sell/target/classes started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 10:26:16:956 [main] INFO   com.xmh.sell.SellApplication - No active profile set, falling back to default profiles: default
2018-04-14 10:26:22:268 [main] INFO   com.xmh.sell.SellApplication - Started SellApplication in 5.904 seconds (JVM running for 7.21)
2018-04-14 10:29:03:612 [main] INFO   com.xmh.sell.SellApplication - Starting SellApplication on xieminghuideMBP.lan with PID 5523 (/Users/xieminghui/Downloads/sell/target/classes started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 10:29:03:616 [main] INFO   com.xmh.sell.SellApplication - No active profile set, falling back to default profiles: default
2018-04-14 10:29:08:617 [main] INFO   com.xmh.sell.SellApplication - Started SellApplication in 5.584 seconds (JVM running for 6.773)
2018-04-14 10:39:49:767 [main] INFO   com.xmh.sell.SellApplication - Starting SellApplication on xieminghuideMBP.lan with PID 5538 (/Users/xieminghui/Downloads/sell/target/classes started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 10:39:49:771 [main] INFO   com.xmh.sell.SellApplication - No active profile set, falling back to default profiles: default
2018-04-14 10:39:56:094 [main] INFO   com.xmh.sell.SellApplication - Started SellApplication in 7.128 seconds (JVM running for 8.111)
2018-04-14 11:40:54:056 [main] INFO   com.xmh.sell.dao.OrderMasterDaoTest - Starting OrderMasterDaoTest on xieminghuideMBP.lan with PID 5588 (started by xieminghui in /Users/xieminghui/Downloads/sell)
